period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Normal Baseline,Manhattan,Penn Station/Madison Sq West,101739,3.79,0.2569,15.93
Normal Baseline,Manhattan,Greenwich Village South,43733,3.41,0.2566,14.37
Normal Baseline,Manhattan,Lenox Hill East,53308,3.45,0.255,14.98
Normal Baseline,Manhattan,SoHo,22546,3.65,0.2541,15.64
Normal Baseline,Manhattan,Kips Bay,27005,3.2,0.2538,14.15
Normal Baseline,Manhattan,East Village,65955,3.35,0.2536,14.27
Normal Baseline,Manhattan,Meatpacking/West Village West,25729,3.75,0.2528,16.02
Normal Baseline,Manhattan,TriBeCa/Civic Center,36245,3.99,0.2513,17.82
Normal Baseline,Manhattan,Little Italy/NoLiTa,28608,3.55,0.2499,15.48
Normal Baseline,Unknown,N/A,5814,4.79,0.2488,21.34
Normal Baseline,Manhattan,Stuy Town/Peter Cooper Village,2492,3.4,0.2484,14.97
Normal Baseline,Manhattan,Manhattan Valley,19311,3.3,0.2478,14.43
Normal Baseline,Queens,LaGuardia Airport,92982,10.42,0.246,43.38
Normal Baseline,Manhattan,Bloomingdale,5892,3.49,0.2406,15.49
Normal Baseline,Manhattan,Lower East Side,29571,3.62,0.24,16.45
Normal Baseline,Manhattan,Battery Park City,16298,5.08,0.2399,22.75
Normal Baseline,Queens,East Elmhurst,9430,10.06,0.2386,43.2
Normal Baseline,Manhattan,World Trade Center,12877,4.92,0.2385,22.45
Normal Baseline,Manhattan,Morningside Heights,11361,3.66,0.2336,16.97
Normal Baseline,Manhattan,Chinatown,3612,4.09,0.2315,20.23
Normal Baseline,Manhattan,Financial District North,13661,4.68,0.2314,22.09
Normal Baseline,Manhattan,Alphabet City,4004,3.31,0.2313,15.8
Normal Baseline,Manhattan,Seaport,4276,4.41,0.2303,21.32
Normal Baseline,Manhattan,Financial District South,7101,4.96,0.2235,24.2
Normal Baseline,Manhattan,East Harlem South,12699,3.01,0.221,15.83
Normal Baseline,Manhattan,Two Bridges/Seward Park,2515,3.54,0.2081,20.1
Normal Baseline,Queens,JFK Airport,110729,12.73,0.1911,67.05
Normal Baseline,Manhattan,Central Harlem,4768,2.65,0.1882,16.55
Normal Baseline,Brooklyn,Downtown Brooklyn/MetroTech,1199,4.29,0.1837,26.51
Normal Baseline,Manhattan,Manhattanville,1119,3.03,0.1767,19.32
Normal Baseline,Queens,Long Island City/Hunters Point,1030,7.59,0.1761,45.41
Normal Baseline,Manhattan,East Harlem North,3782,2.57,0.1733,17.5
Normal Baseline,Queens,Sunnyside,1489,7.21,0.1672,44.9
Normal Baseline,Manhattan,Hamilton Heights,1182,2.81,0.1556,21.45
Normal Baseline,Brooklyn,Fort Greene,1111,3.02,0.1514,23.94
Normal Baseline,Manhattan,Washington Heights South,1233,2.97,0.1275,27.83
Normal Baseline,Manhattan,Central Harlem North,1834,1.31,0.0823,24.17
Normal Baseline,Brooklyn,Crown Heights North,1236,0.24,0.0133,26.83
Normal Baseline,Brooklyn,East New York,1254,0.1,0.0022,35.44
