period,pickup_borough,pickup_zone,trip_count,avg_tip_amount,avg_tip_rate,avg_fare_amount
Normal Baseline,Manhattan,Sutton Place/Turtle Bay North,47067,3.46,0.2689,14.01
Normal Baseline,Manhattan,Yorkville West,49636,3.17,0.2686,13.11
Normal Baseline,Manhattan,Midtown East,99861,3.8,0.2677,15.45
Normal Baseline,Manhattan,Upper East Side North,116571,3.24,0.2673,13.19
Normal Baseline,Manhattan,Midtown Center,136476,3.94,0.2671,15.96
Normal Baseline,Manhattan,Murray Hill,77983,3.62,0.2665,14.95
Normal Baseline,Manhattan,Midtown South,61441,3.73,0.2663,15.47
Normal Baseline,Manhattan,East Chelsea,74704,3.9,0.2652,16.21
Normal Baseline,Manhattan,Upper West Side North,48670,3.31,0.2652,13.76
Normal Baseline,Manhattan,West Village,65763,3.45,0.264,14.2
Normal Baseline,Manhattan,Gramercy,54379,3.39,0.264,14.06
Normal Baseline,Manhattan,Hudson Sq,14104,3.72,0.2634,15.75
Normal Baseline,Manhattan,Central Park,39373,3.64,0.2629,14.92
Normal Baseline,Manhattan,Clinton West,13542,3.36,0.2627,14.5
Normal Baseline,Manhattan,Garment District,40670,3.68,0.2618,15.7
Normal Baseline,Manhattan,UN/Turtle Bay South,29563,3.88,0.2609,16.46
Normal Baseline,Manhattan,West Chelsea/Hudson Yards,49213,3.77,0.2595,15.71
Normal Baseline,Manhattan,Penn Station/Madison Sq West,101882,3.82,0.2594,15.93
Normal Baseline,Manhattan,Greenwich Village South,43808,3.43,0.2592,14.37
Normal Baseline,Manhattan,Yorkville East,33635,3.34,0.2588,14.1
Normal Baseline,Manhattan,Lenox Hill East,53371,3.46,0.2568,14.97
Normal Baseline,Manhattan,East Village,66054,3.37,0.2564,14.27
Normal Baseline,Manhattan,Kips Bay,27044,3.22,0.2561,14.15
Normal Baseline,Manhattan,SoHo,22570,3.66,0.2556,15.63
Normal Baseline,Manhattan,Meatpacking/West Village West,25762,3.77,0.255,16.03
Normal Baseline,Manhattan,TriBeCa/Civic Center,36309,4.01,0.2544,17.81
Normal Baseline,Manhattan,Little Italy/NoLiTa,28646,3.57,0.2527,15.47
Normal Baseline,Manhattan,Stuy Town/Peter Cooper Village,2496,3.43,0.2509,14.96
Normal Baseline,Manhattan,Manhattan Valley,19343,3.31,0.2504,14.42
Normal Baseline,Unknown,N/A,5819,4.81,0.2497,21.39
Normal Baseline,Manhattan,Bloomingdale,5905,3.52,0.2443,15.47
Normal Baseline,Manhattan,Lower East Side,29607,3.65,0.2423,16.44
Normal Baseline,Manhattan,Battery Park City,16320,5.1,0.242,22.76
Normal Baseline,Manhattan,World Trade Center,12900,4.95,0.2414,22.47
Normal Baseline,Queens,East Elmhurst,9442,10.08,0.2396,43.26
Normal Baseline,Manhattan,Alphabet City,4016,3.34,0.2361,15.78
Normal Baseline,Manhattan,Morningside Heights,11372,3.67,0.2353,16.96
Normal Baseline,Manhattan,Financial District North,13675,4.71,0.2337,22.08
Normal Baseline,Manhattan,Chinatown,3618,4.12,0.2336,20.22
Normal Baseline,Manhattan,Seaport,4276,4.41,0.2303,21.32
Normal Baseline,Manhattan,Financial District South,7111,4.99,0.2272,24.19
Normal Baseline,Manhattan,East Harlem South,12728,3.08,0.2244,15.87
Normal Baseline,Manhattan,Two Bridges/Seward Park,2523,3.6,0.2163,20.07
Normal Baseline,Brooklyn,Downtown Brooklyn/MetroTech,1203,4.34,0.1979,26.68
Normal Baseline,Manhattan,Central Harlem,4780,2.68,0.1946,16.53
Normal Baseline,Queens,JFK Airport,110977,12.8,0.1925,67.32
Normal Baseline,Queens,Long Island City/Hunters Point,1037,7.9,0.1857,45.63
Normal Baseline,Manhattan,Manhattanville,1121,3.05,0.1784,19.31
Normal Baseline,Manhattan,East Harlem North,3796,2.62,0.178,17.48
Normal Baseline,Manhattan,Hamilton Heights,1187,2.86,0.1671,21.4
Normal Baseline,Brooklyn,Fort Greene,1113,3.05,0.1536,23.92
Normal Baseline,Manhattan,Washington Heights South,1234,2.98,0.1283,27.82
Normal Baseline,Manhattan,Central Harlem North,1839,1.36,0.0855,24.14
Normal Baseline,Brooklyn,Crown Heights North,1236,0.24,0.0133,26.83
Normal Baseline,Brooklyn,East New York,1257,0.25,0.0078,35.69
